Iter Core_Total(Pa) Full_Total(Pa) Core_Static(Pa) Full_Static(Pa)
158 8948.17 13542.4 8975.88 13598.6
159 8945.94 13530.1 8973.02 13586.6
160 8940.63 13513.9 8967.02 13570.7
161 8932.47 13494 8958.1 13551.1
162 8921.36 13470.1 8946.15 13527.5
163 8907.9 13443.1 8931.78 13500.8
164 8892.33 13413.4 8915.22 13471.3
165 8874.68 13380.8 8896.51 13439.1
166 8854.96 13345.4 8875.67 13404
167 8833.19 13307.1 8852.7 13366
168 8809.74 13266.6 8827.99 13325.8
169 8784.76 13224 8801.71 13283.6
170 8758.11 13179.1 8773.72 13239
171 8729.51 13131.5 8743.74 13191.7
172 8699.57 13082.1 8712.4 13142.7
173 8668.57 13031.4 8680.01 13092.3
174 8636.14 12978.7 8646.17 13040
175 8602.26 12924.1 8610.91 12985.7
176 8567.42 12868.3 8574.72 12930.3
177 8531.79 12811.6 8537.77 12874
178 8494.61 12752.9 8499.33 12815.6
179 8456.42 12692.9 8459.94 12756
180 8417.79 12632.5 8420.17 12696.1
181 8378.19 12571 8379.5 12634.9
182 8337.42 12508.1 8337.75 12572.4
183 8296.42 12445.1 8295.85 12509.8
184 8254.82 12381.4 8253.45 12446.6
185 8212.08 12316.5 8210 12382.1
186 8169.32 12251.7 8166.63 12317.8
187 8126.14 12186.7 8122.95 12253.1
188 8082.1 12120.6 8078.51 12187.5
189 8038.27 12055.2 8034.38 12122.5
190 7994 11989.3 7989.9 12057.2
191 7949.34 11923.2 7945.15 11991.5
192 7905.01 11857.8 7900.81 11926.5
193 7860.03 11791.6 7855.92 11860.8
194 7815.28 11726 7811.35 11795.7
195 7770.77 11661 7767.1 11731.2
196 7725.67 11595.3 7722.33 11665.9
197 7681.26 11530.7 7678.3 11601.9
198 7637.03 11466.5 7634.52 11538.2
199 7593.01 11402.7 7590.97 11474.9
200 7549.44 11339.7 7547.91 11412.4
201 7505.9 11276.8 7504.92 11350
202 7463.1 11215 7462.67 11288.7
203 7420.75 11153.9 7420.9 11228.1
204 7378.76 11093.3 7379.52 11168.1
205 7337.11 11033.3 7338.5 11108.6
206 7295.71 10973.7 7297.74 11049.5
207 7254.92 10915 7257.63 10991.3
208 7214.74 10857.2 7218.16 10934.1
209 7175.12 10800.3 7179.28 10877.7
210 7136.04 10744.1 7140.98 10822.1
211 7097.35 10688.6 7103.08 10767.1
212 7058.86 10633.4 7065.43 10712.5
213 7020.91 10579 7028.33 10658.6
214 6983.36 10525.3 6991.65 10605.4
215 6946.6 10472.6 6955.78 10553.3
216 6910.28 10420.7 6920.37 10501.9
217 6874.75 10369.8 6885.74 10451.6
218 6839.65 10319.6 6851.55 10401.9
219 6805.03 10270.1 6817.81 10352.9
220 6770.98 10221.3 6784.63 10304.7
221 6737.11 10172.8 6751.62 10256.7
222 6704.01 10125.3 6719.33 10209.8
223 6670.98 10077.8 6687.09 10162.9
224 6638.8 10031.5 6655.65 10117.1
225 6606.9 9985.57 6624.45 10071.7
226 6575.92 9940.84 6594.12 10027.5
227 6545.24 9896.45 6564.04 9983.64
228 6515.42 9853.22 6534.77 9940.96
229 6485.87 9810.3 6505.74 9898.58
230 6457.01 9768.32 6477.35 9857.13
231 6428.45 9726.68 6449.23 9816.04
232 6400.42 9685.77 6421.61 9775.67
233 6372.71 9645.29 6394.3 9735.73
234 6345.42 9605.38 6367.38 9696.37
235 6318.48 9565.98 6340.82 9657.5
236 6291.87 9527.05 6314.58 9619.12
237 6265.64 9488.67 6288.71 9581.29
238 6239.7 9450.71 6263.13 9543.87
239 6214.19 9413.4 6237.99 9507.11
240 6188.92 9376.44 6213.07 9470.69
241 6164.13 9340.19 6188.64 9434.99
242 6139.52 9304.23 6164.4 9399.57
243 6115.43 9269.02 6140.65 9364.9
244 6091.51 9234.05 6117.06 9330.48
245 6068.11 9199.82 6093.97 9296.79
246 6044.97 9165.95 6071.11 9263.46
247 6022.3 9132.73 6048.69 9230.77
248 5999.98 9099.94 6026.56 9198.53
249 5978.07 9067.7 6004.79 9166.81
250 5956.55 9035.93 5983.34 9135.58
251 5935.39 9004.59 5962.18 9104.76
252 5914.62 8973.69 5941.32 9074.4
253 5894.18 8943.14 5920.7 9044.37
254 5874.12 8913.02 5900.37 9014.77
255 5854.36 8883.17 5880.23 8985.44
256 5835 8853.75 5860.39 8956.54
257 5815.89 8824.54 5840.69 8927.85
258 5797.23 8795.83 5821.34 8899.66
259 5778.74 8767.22 5802.07 8871.56
260 5760.78 8739.25 5783.23 8844.11
261 5742.88 8711.23 5764.37 8816.61
262 5725.56 8683.98 5746.03 8789.87
263 5708.45 8656.92 5727.82 8763.32
264 5691.81 8630.48 5710.03 8737.39
265 5675.36 8604.24 5692.37 8711.66
266 5659.27 8578.49 5675.04 8686.42
267 5643.32 8552.89 5657.8 8661.34
268 5627.68 8527.71 5640.82 8636.66
269 5612.13 8502.64 5623.92 8612.11
270 5596.86 8477.95 5607.24 8587.93
271 5581.63 8453.3 5590.57 8563.79
272 5566.65 8429 5574.12 8540
273 5551.86 8404.97 5557.82 8516.47
274 5537.21 8381.13 5541.63 8493.15
275 5522.88 8357.76 5525.74 8470.28
276 5508.65 8334.54 5509.92 8447.56
277 5494.72 8311.78 5494.39 8425.3
