Iter MassIn(kg/s) MassOut(kg/s) Ratio
923 29.6441 29.6441 1
924 29.6441 29.6441 1
925 29.6441 29.6441 1
926 29.6441 29.6441 1
927 29.6441 29.6441 1
928 29.6441 29.6441 1
929 29.6441 29.6441 1
930 29.6441 29.6441 1
931 29.6441 29.6441 1
932 29.6441 29.6441 1
933 29.6441 29.6441 1
934 29.6441 29.6441 1
935 29.6441 29.6441 1
936 29.6441 29.6441 1
937 29.6441 29.6441 1
938 29.6441 29.6441 1
939 29.6441 29.6441 1
