Iter MassIn(kg/s) MassOut(kg/s) Ratio
179 12.5158 2.43099 5.14842
180 12.5691 2.47559 5.07722
181 12.6225 2.52058 5.00777
182 12.6758 2.56595 4.94002
183 12.7292 2.6117 4.87391
184 12.7826 2.65783 4.80939
185 12.8359 2.70434 4.7464
186 12.8893 2.75123 4.68491
187 12.9426 2.79849 4.62486
188 12.996 2.84612 4.56622
189 13.0493 2.89412 4.50892
190 13.1027 2.94248 4.45295
191 13.1561 2.99121 4.39825
192 13.2094 3.0403 4.34478
193 13.2628 3.08974 4.29252
194 13.3161 3.13955 4.24142
195 13.3695 3.18971 4.19145
196 13.4229 3.24022 4.14258
197 13.4762 3.29108 4.09478
198 13.5296 3.34228 4.04801
199 13.5829 3.39383 4.00224
200 13.6363 3.44573 3.95745
201 13.6897 3.49796 3.91361
202 13.743 3.55053 3.8707
203 13.7964 3.60343 3.82868
204 13.8497 3.65667 3.78753
205 13.9031 3.71024 3.74723
206 13.9565 3.76413 3.70775
207 14.0098 3.81835 3.66908
208 14.0632 3.87289 3.63118
209 14.1165 3.92775 3.59405
210 14.1699 3.98293 3.55766
211 14.2233 4.03842 3.52198
212 14.2766 4.09423 3.48701
213 14.33 4.15034 3.45272
214 14.3833 4.20677 3.41909
215 14.4367 4.2635 3.38612
216 14.4901 4.32053 3.35377
217 14.5434 4.37786 3.32204
218 14.5968 4.43549 3.2909
219 14.6501 4.49341 3.26036
220 14.7035 4.55163 3.23038
221 14.7568 4.61014 3.20096
222 14.8102 4.66894 3.17207
223 14.8636 4.72802 3.14372
224 14.9169 4.78738 3.11588
225 14.9703 4.84703 3.08855
226 15.0236 4.90695 3.06171
227 15.077 4.96715 3.03534
228 15.1304 5.02763 3.00944
229 15.1837 5.08837 2.984
230 15.2371 5.14939 2.95901
231 15.2904 5.21067 2.93445
232 15.3438 5.27222 2.91031
233 15.3972 5.33403 2.88659
234 15.4505 5.39609 2.86328
235 15.5039 5.45842 2.84036
236 15.5572 5.521 2.81783
237 15.6106 5.58383 2.79568
238 15.664 5.64692 2.77389
239 15.7173 5.71025 2.75247
240 15.7707 5.77383 2.73141
241 15.824 5.83766 2.71068
242 15.8774 5.90172 2.6903
243 15.9308 5.96603 2.67025
244 15.9841 6.03057 2.65051
245 16.0375 6.09535 2.6311
246 16.0908 6.16036 2.612
247 16.1442 6.2256 2.59319
248 16.1976 6.29108 2.57469
249 16.2509 6.35678 2.55647
250 16.3043 6.4227 2.53854
251 16.3576 6.48885 2.52088
252 16.411 6.55521 2.5035
253 16.4644 6.6218 2.48639
254 16.5177 6.6886 2.46953
255 16.5711 6.75562 2.45293
256 16.6244 6.82285 2.43658
257 16.6778 6.89029 2.42048
258 16.7311 6.95794 2.40461
259 16.7845 7.0258 2.38898
260 16.8379 7.09386 2.37358
261 16.8912 7.16213 2.35841
262 16.9446 7.23059 2.34346
263 16.9979 7.29926 2.32872
264 17.0513 7.36812 2.3142
265 17.1047 7.43718 2.29988
266 17.158 7.50644 2.28578
267 17.2114 7.57588 2.27187
268 17.2647 7.64552 2.25815
269 17.3181 7.71534 2.24463
270 17.3715 7.78535 2.2313
271 17.4248 7.85554 2.21816
272 17.4782 7.92592 2.20519
273 17.5315 7.99648 2.19241
274 17.5849 8.06722 2.1798
275 17.6383 8.13814 2.16736
276 17.6916 8.20923 2.15509
277 17.745 8.2805 2.14298
278 17.7983 8.35194 2.13104
279 17.8517 8.42356 2.11926
280 17.9051 8.49534 2.10763
281 17.9584 8.56729 2.09616
282 18.0118 8.63941 2.08484
283 18.0651 8.71169 2.07367
284 18.1185 8.78414 2.06264
285 18.1719 8.85675 2.05175
286 18.2252 8.92952 2.04101
287 18.2786 9.00245 2.0304
288 18.3319 9.07554 2.01993
289 18.3853 9.14878 2.00959
290 18.4387 18.4387 1
291 18.492 18.492 1
292 18.5454 18.5454 1
293 18.5987 18.5987 1
294 18.6521 18.6521 1
295 18.7054 18.7054 1
296 18.7588 18.7588 1
297 18.8122 18.8122 1
298 18.8655 18.8655 1
299 18.9189 18.9189 1
300 18.9722 18.9722 1
301 19.0256 19.0256 1
302 19.079 19.079 1
303 19.1323 19.1323 1
304 19.1857 19.1857 1
305 19.239 19.239 1
306 19.2924 19.2924 1
307 19.3458 19.3458 1
308 19.3991 19.3991 1
309 19.4525 19.4525 1
310 19.5058 19.5058 1
311 19.5592 19.5592 1
312 19.6126 19.6126 1
313 19.6659 19.6659 1
314 19.7193 19.7193 1
315 19.7726 19.7726 1
316 19.826 19.826 1
317 19.8794 19.8794 1
318 19.9327 19.9327 1
319 19.9861 19.9861 1
320 20.0394 20.0394 1
321 20.0928 20.0928 1
322 20.1462 20.1462 1
323 20.1995 20.1995 1
324 20.2529 20.2529 1
325 20.3062 20.3062 1
326 20.3596 20.3596 1
327 20.413 20.413 1
328 20.4663 20.4663 1
329 20.5197 20.5197 1
330 20.573 20.573 1
331 20.6264 20.6264 1
332 20.6797 20.6797 1
333 20.7331 20.7331 1
334 20.7865 20.7865 1
335 20.8398 20.8398 1
336 20.8932 20.8932 1
337 20.9465 20.9465 1
338 20.9999 20.9999 1
339 21.0533 21.0533 1
340 21.1066 21.1066 1
341 21.16 21.16 1
342 21.2133 21.2133 1
343 21.2667 21.2667 1
344 21.3201 21.3201 1
345 21.3734 21.3734 1
346 21.4268 21.4268 1
347 21.4801 21.4801 1
348 21.5335 21.5335 1
349 21.5869 21.5869 1
350 21.6402 21.6402 1
351 21.6936 21.6936 1
352 21.7469 21.7469 1
353 21.8003 21.8003 1
354 21.8537 21.8537 1
355 21.907 21.907 1
356 21.9604 21.9604 1
357 22.0137 22.0137 1
358 22.0671 22.0671 1
359 22.1205 22.1205 1
360 22.1738 22.1738 1
361 22.2272 22.2272 1
362 22.2805 22.2805 1
363 22.3339 22.3339 1
364 22.3872 22.3872 1
365 22.4406 22.4406 1
366 22.494 22.494 1
367 22.5473 22.5473 1
368 22.6007 22.6007 1
369 22.654 22.654 1
370 22.7074 22.7074 1
371 22.7608 22.7608 1
372 22.8141 22.8141 1
373 22.8675 22.8675 1
374 22.9208 22.9208 1
375 22.9742 22.9742 1
376 23.0276 23.0276 1
377 23.0809 23.0809 1
378 23.1343 23.1343 1
379 23.1876 23.1876 1
380 23.241 23.241 1
381 23.2944 23.2944 1
382 23.3477 23.3477 1
383 23.4011 23.4011 1
384 23.4544 23.4544 1
385 23.5078 23.5078 1
386 23.5612 23.5612 1
387 23.6145 23.6145 1
388 23.6679 23.6679 1
389 23.7212 23.7212 1
390 23.7746 23.7746 1
391 23.828 23.828 1
392 23.8813 23.8813 1
393 23.9347 23.9347 1
394 23.988 23.988 1
395 24.0414 24.0414 1
396 24.0948 24.0948 1
397 24.1481 24.1481 1
398 24.2015 24.2015 1
399 24.2548 24.2548 1
400 24.3082 24.3082 1
401 24.3615 24.3615 1
402 24.4149 24.4149 1
403 24.4683 24.4683 1
404 24.5216 24.5216 1
405 24.575 24.575 1
406 24.6283 24.6283 1
407 24.6817 24.6817 1
408 24.7351 24.7351 1
409 24.7884 24.7884 1
410 24.8418 24.8418 1
411 24.8951 24.8951 1
412 24.9485 24.9485 1
413 25.0019 25.0019 1
414 25.0552 25.0552 1
415 25.1086 25.1086 1
416 25.1619 25.1619 1
417 25.2153 25.2153 1
418 25.2687 25.2687 1
419 25.322 25.322 1
420 25.3754 25.3754 1
421 25.4287 25.4287 1
422 25.4821 25.4821 1
423 25.5355 25.5355 1
424 25.5888 25.5888 1
425 25.6422 25.6422 1
426 25.6955 25.6955 1
427 25.7489 25.7489 1
428 25.8023 25.8023 1
429 25.8556 25.8556 1
430 25.909 25.909 1
431 25.9623 25.9623 1
432 26.0157 26.0157 1
433 26.0691 26.0691 1
434 26.1224 26.1224 1
435 26.1758 26.1758 1
436 26.2291 26.2291 1
437 26.2825 26.2825 1
438 26.3358 26.3358 1
439 26.3892 26.3892 1
440 26.4426 26.4426 1
441 26.4959 26.4959 1
442 26.5493 26.5493 1
443 26.6026 26.6026 1
444 26.656 26.656 1
445 26.7094 26.7094 1
446 26.7627 26.7627 1
447 26.8161 26.8161 1
448 26.8694 26.8694 1
449 26.9228 26.9228 1
450 26.9762 26.9762 1
451 27.0295 27.0295 1
452 27.0829 27.0829 1
453 27.1362 27.1362 1
454 27.1896 27.1896 1
455 27.243 27.243 1
456 27.2963 27.2963 1
457 27.3497 27.3497 1
458 27.403 27.403 1
459 27.4564 27.4564 1
460 27.5098 27.5098 1
461 27.5631 27.5631 1
462 27.6165 27.6165 1
463 27.6698 27.6698 1
